# age N_data S_data
21270.000458 7.916818 -4.925189
21260.000229 7.912252 -4.926779
21250.000000 7.926662 -4.823488
21239.999771 8.056699 -4.831284
21229.999542 7.949341 -4.774705
21219.999313 7.947035 -4.734487
21209.999084 7.836282 -4.863971
21200.000763 8.132782 -4.913533
21190.000534 7.928518 -4.909499
21180.000305 7.888282 -4.863893
21170.000076 7.873694 -4.627604
21159.999847 7.851486 -4.722942
21149.999619 7.949058 -4.830897
21139.999390 7.914456 -4.860686
21129.999161 7.799779 -4.858665
21120.000839 7.943803 -4.795950
21110.000610 7.726318 -4.687464
21100.000381 7.797785 -4.657686
21090.000153 8.015673 -4.874580
21079.999924 7.953024 -4.708495
21069.999695 7.854614 -4.638469
21059.999466 7.713145 -4.851321
21049.999237 7.784390 -4.874740
21040.000916 7.853961 -4.743467
21030.000687 7.998132 -4.782025
21020.000458 7.986100 -4.857066
21010.000229 7.852169 -4.951417
21000.000000 7.651612 -4.745424
20989.999771 7.860336 -4.692924
20979.999542 7.827009 -4.844241
20969.999313 7.946862 -4.834811
20959.999084 7.734153 -4.821576
20950.000763 7.690132 -4.877600
20940.000534 7.857048 -4.844634
20930.000305 7.816154 -4.780455
20920.000076 7.957500 -4.850826
20909.999847 7.848940 -4.904152
20899.999619 7.851958 -4.677896
20889.999390 7.690911 -4.743732
20879.999161 7.805663 -4.792277
20870.000839 7.756081 -4.911072
20860.000610 7.854901 -4.803770
20850.000381 7.815968 -4.840624
20840.000153 7.620288 -4.721885
20829.999924 7.895030 -4.721398
20819.999695 7.736463 -4.965866
20809.999466 7.875275 -4.920862
20799.999237 7.746817 -4.871817
20790.000916 7.621373 -4.941989
20780.000687 7.873387 -4.802498
20770.000458 7.924070 -4.859914
20760.000229 7.719616 -4.938032
20750.000000 7.696896 -4.913940
20739.999771 8.014423 -4.705928
20729.999542 7.760361 -4.791573
20719.999313 7.833057 -4.738523
20709.999084 7.939417 -4.651609
20700.000763 7.777186 -4.932199
20690.000534 7.570775 -4.956749
20680.000305 7.744538 -4.800723
20670.000076 7.917841 -4.843496
20659.999847 7.945824 -4.902101
20649.999619 7.745524 -4.829938
20639.999390 7.934317 -4.831481
20629.999161 7.777217 -4.850094
20620.000839 7.691939 -4.843807
20610.000610 7.669448 -4.687729
20600.000381 7.775868 -4.869735
20590.000153 7.643263 -4.745124
20579.999924 7.568474 -4.787769
20569.999695 7.731608 -4.699056
20559.999466 7.731717 -4.807948
20549.999237 7.945648 -4.785895
20540.000916 7.834002 -4.867386
20530.000687 7.811197 -4.841824
20520.000458 7.843186 -4.899283
20510.000229 7.891074 -4.724180
20500.000000 7.977016 -4.800454
20489.999771 7.800795 -4.678237
20479.999542 7.844206 -4.668258
20469.999313 7.817490 -4.719738
20459.999084 8.024923 -4.620533
20450.000763 7.810419 -4.921464
20440.000534 7.776792 -4.904910
20430.000305 7.901148 -4.879592
20420.000076 7.748830 -4.867581
20409.999847 7.881334 -4.672041
20399.999619 8.004062 -4.744885
20389.999390 7.972538 -4.740736
20379.999161 7.853852 -4.645227
20370.000839 8.052235 -4.875807
20360.000610 7.950904 -4.725546
20350.000381 7.917989 -4.710003
20340.000153 7.890404 -4.769378
20329.999924 7.972139 -4.760411
20319.999695 7.879239 -4.827830
20309.999466 7.842807 -4.715072
20299.999237 7.820171 -4.902451
20290.000916 7.785846 -4.833334
20280.000687 7.775494 -4.816690
20270.000458 7.599233 -4.931333
20260.000229 8.014673 -4.889176
20250.000000 7.622375 -4.876239
20239.999771 7.711179 -4.732946
