# age N_data S_data
21090.000153 7.446349 -5.319941
21079.999924 7.269157 -5.206256
21069.999695 7.078913 -5.365888
21059.999466 7.095677 -5.404779
21049.999237 7.162425 -5.342977
21040.000916 7.298942 -5.368847
21030.000687 6.977744 -5.420690
21020.000458 7.065145 -5.404455
21010.000229 7.132533 -5.406221
21000.000000 7.106216 -5.285945
20989.999771 7.131023 -5.448671
20979.999542 7.178434 -5.306365
20969.999313 7.390981 -5.242443
20959.999084 7.226444 -5.252375
20950.000763 7.220001 -5.374200
20940.000534 6.916312 -5.472040
20930.000305 6.946310 -5.441776
20920.000076 7.036356 -5.493697
20909.999847 7.139302 -5.252425
20899.999619 6.993758 -5.353456
20889.999390 7.042549 -5.293185
20879.999161 7.134306 -5.142333
20870.000839 7.193354 -5.335495
20860.000610 7.264380 -5.360596
20850.000381 7.035733 -5.295155
20840.000153 7.250788 -5.243233
20829.999924 7.124839 -5.343925
20819.999695 7.194173 -5.345979
20809.999466 7.005609 -5.372952
20799.999237 7.050806 -5.407118
20790.000916 7.255945 -5.019440
20780.000687 7.255578 -5.337147
20770.000458 7.142510 -5.416320
20760.000229 7.274052 -5.462562
20750.000000 7.205652 -5.474989
20739.999771 7.194201 -5.373916
20729.999542 7.210256 -5.141169
20719.999313 7.136287 -5.252580
20709.999084 6.964308 -5.409631
20700.000763 7.120881 -5.388094
20690.000534 6.967726 -5.356406
20680.000305 6.946282 -5.412710
20670.000076 6.969772 -5.356157
20659.999847 7.048832 -5.382314
20649.999619 7.092792 -5.411828
20639.999390 6.935993 -5.305229
20629.999161 7.060947 -5.397992
20620.000839 7.218974 -5.312221
20610.000610 7.093666 -5.447530
20600.000381 7.217321 -5.446850
20590.000153 7.037594 -5.440753
20579.999924 7.231439 -5.393586
20569.999695 7.423499 -5.319360
20559.999466 7.264765 -5.227454
20549.999237 7.038906 -5.337217
20540.000916 6.915581 -5.398127
20530.000687 7.135719 -5.514265
20520.000458 7.180471 -5.349905
20510.000229 7.145581 -5.500261
20500.000000 7.151802 -5.296478
20489.999771 7.234931 -5.400985
20479.999542 6.978947 -5.458297
20469.999313 6.960285 -5.338361
20459.999084 7.119266 -5.383775
20450.000763 7.220323 -5.310914
20440.000534 7.139020 -5.229260
20430.000305 6.962324 -5.388194
20420.000076 7.099484 -5.337421
20409.999847 7.072986 -5.373028
20399.999619 6.893508 -5.385806
20389.999390 6.856100 -5.368127
20379.999161 7.181547 -5.305313
20370.000839 7.188757 -5.276095
20360.000610 7.139594 -5.466736
20350.000381 7.104831 -5.449613
20340.000153 7.182095 -5.357239
20329.999924 7.141300 -5.172623
20319.999695 7.030129 -5.324359
20309.999466 7.020736 -5.390586
20299.999237 6.998985 -5.464662
20290.000916 7.035451 -5.507099
20280.000687 7.131152 -5.240609
20270.000458 7.176987 -5.318045
20260.000229 7.132610 -5.556181
20250.000000 7.204862 -5.304325
20239.999771 7.023826 -5.319598
20229.999542 7.079360 -5.428390
20219.999313 7.055780 -5.289355
20209.999084 6.826886 -5.382293
20200.000763 6.894610 -5.235505
20190.000534 7.199630 -5.484455
20180.000305 7.177670 -5.261368
20170.000076 7.061686 -5.497735
20159.999847 7.164733 -5.315212
20149.999619 7.158361 -5.289917
20139.999390 7.011639 -5.502673
20129.999161 6.944581 -5.345590
20120.000839 7.074275 -5.383991
20110.000610 7.213462 -5.477331
20100.000381 7.087444 -5.387624
20090.000153 7.060216 -5.385672
20079.999924 7.207980 -5.387434
20069.999695 6.886095 -5.374271
20059.999466 7.056986 -5.303194
20049.999237 7.131871 -5.296614
20040.000916 7.357451 -5.457450
20030.000687 6.980500 -5.437366
20020.000458 6.813320 -5.517530
20010.000229 7.046769 -5.343393
20000.000000 6.954962 -5.570942
19989.999771 7.115663 -5.444439
19979.999542 7.165573 -5.232410
19969.999313 7.136260 -5.279863
19959.999084 6.994567 -5.268879
19950.000763 7.213654 -5.230926
19940.000534 7.105098 -5.287504
19930.000305 6.847231 -5.195825
19920.000076 7.169987 -5.373226
19909.999847 7.049280 -5.368324
19899.999619 7.115011 -5.440257
19889.999390 7.112067 -5.396851
19880.001068 7.049809 -5.283134
19870.000839 7.153782 -5.185231
19860.000610 7.090679 -5.395614
19850.000381 6.881393 -5.149814
19840.000153 7.089159 -5.240033
19829.999924 6.885781 -5.265175
19819.999695 7.118858 -5.291564
19809.999466 6.960421 -5.393989
19799.999237 6.988227 -5.338387
19790.000916 7.039775 -5.420629
19780.000687 7.090207 -5.258288
