# age N_data S_data
15309.999466 6.110253 -2.742019
15300.000191 6.341974 -2.734586
15289.999962 6.109680 -2.753167
15280.000687 6.206835 -2.706230
15270.000458 6.243461 -2.801935
15260.000229 6.249162 -2.699539
15250.000000 5.959485 -2.766011
15239.999771 6.227112 -2.817505
15229.999542 6.281269 -2.660131
15220.000267 6.269380 -2.836582
15210.000038 6.357069 -2.642392
15200.000763 6.198332 -2.789079
15190.000534 6.210521 -2.743967
15180.000305 6.240208 -2.595010
15170.000076 6.228856 -2.869703
15159.999847 6.078881 -2.821807
15149.999619 6.089311 -2.785250
15140.000343 6.048227 -2.741204
15130.000114 6.159257 -2.866496
15120.000839 6.321954 -2.656668
15110.000610 6.230662 -2.815907
15100.000381 6.183508 -2.736021
15090.000153 6.222729 -2.645314
15079.999924 6.007156 -2.797897
15069.999695 6.188402 -2.781845
15059.999466 6.006615 -2.723813
15050.000191 6.025462 -2.945285
15039.999962 6.160393 -2.898998
15030.000687 6.025391 -2.811659
15020.000458 5.965040 -2.843804
15010.000229 6.236637 -2.855977
15000.000000 6.103946 -2.696705
14989.999771 6.132618 -2.885634
14979.999542 5.986078 -2.623703
14970.000267 6.066320 -2.786818
14960.000038 6.107974 -2.753572
14950.000763 6.327284 -2.826116
14940.000534 6.028695 -2.696329
14930.000305 5.886705 -2.762377
14920.000076 6.110721 -2.822240
14909.999847 6.070659 -2.545148
14899.999619 6.220488 -2.672484
14890.000343 6.354877 -2.639801
14880.000114 6.008960 -2.719667
14870.000839 6.028891 -2.837497
14860.000610 6.294186 -2.801697
14850.000381 6.313109 -2.685711
14840.000153 6.219757 -2.720431
14829.999924 6.184049 -2.767249
14819.999695 6.253173 -2.794547
14809.999466 6.080831 -2.751364
14800.000191 5.918995 -2.786894
14789.999962 6.177452 -2.832527
14780.000687 6.072663 -2.756490
14770.000458 6.265713 -2.744163
14760.000229 6.242270 -2.767525
14750.000000 6.040732 -2.852402
14739.999771 6.042572 -2.789185
14729.999542 6.176253 -2.818258
14720.000267 6.132935 -2.754885
14710.000038 5.949034 -2.796957
14700.000763 6.104647 -2.820972
14690.000534 6.222624 -2.745275
14680.000305 6.139110 -2.737228
14670.000076 6.483442 -2.823177
14659.999847 6.530559 -2.831169
14649.999619 6.573725 -2.859972
14640.000343 6.503067 -2.699293
14630.000114 6.582788 -2.764022
14620.000839 6.701563 -2.836694
14610.000610 6.731743 -2.907828
14600.000381 6.773893 -2.977755
14590.000153 6.786790 -2.836574
14579.999924 6.820274 -2.836637
14569.999695 6.892012 -2.899762
14559.999466 7.068838 -2.898170
14550.000191 7.239367 -2.941087
14539.999962 7.133421 -3.135219
14530.000687 6.999812 -3.020645
14520.000458 7.238294 -2.994937
14510.000229 7.421795 -3.078138
14500.000000 7.340800 -3.119883
14489.999771 7.314545 -3.074967
14479.999542 7.593329 -3.278615
14470.000267 7.500563 -3.318411
14460.000038 7.431538 -3.313387
14450.000763 7.535588 -3.265943
14440.000534 7.863853 -3.457184
14430.000305 7.809566 -3.557615
14420.000076 7.920857 -3.338773
14409.999847 7.912072 -3.569238
14399.999619 7.952117 -3.574967
14390.000343 8.013352 -3.658811
14380.000114 7.981470 -3.632919
14370.000839 7.948573 -3.720433
14360.000610 8.232329 -3.796975
14350.000381 8.307252 -3.680063
14340.000153 8.153976 -3.870557
14329.999924 8.263694 -3.834692
14319.999695 8.182823 -3.822944
14309.999466 8.259970 -3.882813
14300.000191 8.157582 -4.142810
14289.999962 8.100486 -4.284036
14280.000687 8.223006 -4.141794
14270.000458 7.931078 -4.233708
14260.000229 7.978605 -4.347317
14250.000000 7.874530 -4.605374
14239.999771 7.789459 -4.468407
14229.999542 7.632907 -4.599934
14220.000267 7.685928 -4.833891
14210.000038 7.549483 -4.814168
14200.000763 7.470538 -4.858547
14190.000534 7.561376 -5.050190
14180.000305 7.347772 -5.030059
14170.000076 7.152676 -5.071955
14159.999847 6.967439 -5.293177
14149.999619 7.034199 -5.347651
14140.000343 6.945913 -5.490246
14130.000114 6.792269 -5.267536
14120.000839 6.479722 -5.376865
14110.000610 6.206395 -5.549595
14100.000381 6.342920 -5.428998
14090.000153 6.304059 -5.510210
14079.999924 6.347296 -5.454796
14069.999695 6.401223 -5.500909
14059.999466 6.233649 -5.437084
14050.000191 6.190649 -5.346094
14039.999962 6.186391 -5.299999
14030.000687 6.074633 -5.368320
14020.000458 6.213790 -5.275629
14010.000229 6.280177 -5.175918
14000.000000 6.171444 -5.028154
13989.999771 6.153863 -4.976671
13980.000496 6.170174 -5.049640
13970.000267 6.302553 -4.905564
13960.000038 6.119224 -4.789791
13949.999809 6.205139 -4.669377
13940.000534 6.332005 -4.451585
13930.000305 5.949625 -4.316946
13920.000076 6.213853 -4.213235
13909.999847 6.190276 -4.118168
13900.000572 6.238128 -4.142320
13890.000343 6.177168 -3.873123
13880.000114 6.112583 -3.799449
13869.999886 6.316198 -3.592451
13860.000610 6.466685 -3.679090
