# age N_data S_data
18190.000534 7.222713 -4.894113
18180.000305 7.350915 -4.871957
18170.000076 7.261228 -4.947179
18159.999847 7.376274 -4.953680
18149.999619 7.299903 -4.925889
18139.999390 7.417213 -4.945882
18130.001068 7.366455 -5.009306
18120.000839 7.409750 -5.035867
18110.000610 7.422764 -4.893425
18100.000381 7.504058 -4.842901
18090.000153 7.525460 -5.007158
18079.999924 7.467214 -4.882950
18069.999695 7.380415 -4.903671
18059.999466 7.467749 -5.060750
18049.999237 7.647494 -5.032400
18040.000916 7.507690 -4.949196
18030.000687 7.368357 -4.894037
18020.000458 7.508922 -4.905999
18010.000229 7.505937 -4.985895
18000.000000 7.515478 -4.927646
17989.999771 7.436702 -4.877785
17979.999542 7.434731 -5.035936
17970.001221 7.336609 -4.997972
17959.999084 7.162175 -4.890478
17950.000763 7.404485 -4.871686
17940.000534 7.442244 -4.798975
17930.000305 7.419406 -4.934046
17920.000076 7.310874 -5.080582
17909.999847 7.262936 -4.755595
17899.999619 7.434192 -4.819001
17889.999390 7.462142 -4.939091
17880.001068 7.426484 -4.845886
17869.998932 7.197645 -4.979575
17860.000610 7.335662 -4.892198
17850.000381 7.202008 -4.762746
17840.000153 7.145556 -5.032877
17829.999924 7.446017 -5.023575
17819.999695 7.341583 -4.931277
17809.999466 7.339631 -4.981956
17799.999237 7.450359 -4.950879
17790.000916 7.236205 -4.915835
17780.000687 7.076044 -5.015014
17770.000458 7.276664 -5.031951
17760.000229 7.419694 -5.057766
17750.000000 7.325583 -4.942145
17739.999771 7.305063 -4.965957
17729.999542 7.365786 -4.922775
17720.001221 7.467526 -4.864174
17709.999084 7.147523 -4.894471
17700.000763 7.321660 -4.943445
17690.000534 7.409691 -4.840963
17680.000305 7.549659 -4.932558
17670.000076 7.392030 -4.761702
17659.999847 7.254893 -4.999535
17649.999619 7.204359 -5.088578
17639.999390 7.290329 -4.963573
17630.001068 7.370768 -4.957969
17619.998932 7.368404 -4.810110
17610.000610 7.494350 -4.864158
17600.000381 7.489097 -4.937565
17590.000153 7.511904 -5.073216
17579.999924 7.380470 -5.009382
17569.999695 7.504538 -4.946698
17559.999466 7.174225 -4.881418
17549.999237 7.473012 -4.814388
17540.000916 7.529336 -4.896528
17530.000687 7.290192 -4.907492
17520.000458 7.404600 -4.893522
17510.000229 7.515320 -4.869592
17500.000000 7.350230 -4.980841
17489.999771 7.441750 -5.027556
17479.999542 7.370178 -4.900257
17470.001221 7.420805 -4.961394
17459.999084 7.274679 -4.931966
17450.000763 7.387623 -4.706784
17440.000534 7.371929 -5.106952
17430.000305 7.257123 -5.070355
17420.000076 7.377152 -4.991683
17409.999847 7.279537 -4.774356
17399.999619 7.439730 -4.889875
17389.999390 7.452183 -4.895306
17380.001068 7.207410 -4.914052
17369.998932 7.409775 -4.854947
17360.000610 7.257528 -5.102913
17350.000381 7.457158 -4.915698
17340.000153 7.399025 -4.935411
17329.999924 7.566117 -4.955320
17319.999695 7.463173 -4.890133
17309.999466 7.357262 -5.024755
17299.999237 7.422446 -5.002937
17290.000916 7.316865 -5.050953
17280.000687 7.422559 -4.980764
17270.000458 7.259467 -4.851603
17260.000229 7.396198 -4.944775
17250.000000 7.316229 -4.904342
17239.999771 7.186066 -5.074128
17229.999542 7.225147 -4.950480
17220.001221 7.058267 -5.034127
17209.999084 7.242219 -4.979864
17200.000763 7.482123 -4.910431
17190.000534 7.369448 -5.005717
17180.000305 7.414953 -4.955117
17170.000076 7.440418 -4.878161
17159.999847 7.502603 -4.924846
17149.999619 7.049283 -5.066532
17139.999390 7.310422 -4.986504
